id,title,developer_id,price_min,price_max,bhk_config,locality,city,rera_number,cover_image_local,source_platform,source_url
e5ec133f-9af7-470a-9cf1-f7ae2533e1af,"Flats / Apartments for Sale in Kolat, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-kolat-ahmedabad
305bfa35-b881-4f34-be68-f8b2f20d1331,"Flats / Apartments for Rent in Gheekanta Road, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-gheekanta-road-ahmedabad
250b0e52-370c-41fc-a593-580e1f3d11c4,"Flats / Apartments for Sale in Kasturinagar, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-kasturinagar-gandhinagar
43dcc38b-769d-444a-b936-125e21c2965d,"Flats / Apartments for Sale in Sarkhej Road, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-sarkhej-road-ahmedabad
578a7838-839a-4235-8d4d-f12a6933cbca,"Flats / Apartments for Rent in Darpan Society, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-darpan-society-ahmedabad
6bf5f3f7-cda8-45e0-a339-2249c75e26a9,"Flats / Apartments for Sale in Lavad, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-lavad-gandhinagar
38380dce-076e-4ff0-a5ec-5e72147d5d10,"Flats / Apartments for Rent in Sardhav, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-sardhav-gandhinagar
6c0c5d72-639f-4276-b39b-d9aafd873495,"Flats / Apartments for Rent in Sanand, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-sanand-ahmedabad
40557ef6-9ffc-4738-bffe-9312e5892971,"Flats / Apartments for Sale in Ambawadi, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-ambawadi-ahmedabad
864506de-ad7b-4c49-acbf-a5c00dc09874,"Flats / Apartments for Sale in Nani Devti, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-nani-devti-ahmedabad
42d6d3a8-2f78-4681-a7b6-5bc7ed0785f7,"Flats / Apartments for Sale in Sector 19, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-sector-19-gandhinagar
c4233c9b-fa0f-474e-85d8-db0d04a21e9a,"Flats / Apartments for Sale in Palaj, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-palaj-gandhinagar
c23c9588-11cb-4ebc-836c-0818c6086003,"Flats / Apartments for Rent in Bhoyan Moti, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-bhoyan-moti-gandhinagar
0a2aafdd-9c3e-4a34-9b7d-30a40163f376,"Flats / Apartments for Sale in Bhatta, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-bhatta-ahmedabad
fbf7c26a-a7ec-454c-b9e2-8255a5a26393,"Flats for Sale in Shantigram, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-shantigram-ahmedabad
52e465c1-e29e-4374-837a-7ed232f28e9f,"Flats / Apartments for Sale in Pdpu Road, Gandhinagar",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-pdpu-road-gandhinagar
d3ca3552-59c4-487c-91bb-62245c786c44,"Flats / Apartments for Sale in Kheda Mahemdavad Road, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-kheda-mahemdavad-road-ahmedabad
0edb5eb9-db02-45d1-adef-103e246191d9,"Flats / Apartments for Rent in Ambod, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-ambod-gandhinagar
fbe17acb-4783-4e0a-9b2e-143d4218ff87,"Flats / Apartments for Rent in Mansa, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-mansa-gandhinagar
37cf5eab-5012-455b-9399-f1735fdf6fc8,"Flats / Apartments for Sale in Naranpura Vistar, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-naranpura-vistar-ahmedabad
e056947f-31b3-48ba-b048-72e323a4e271,"Flats / Apartments for Rent in Transad, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-transad-ahmedabad
0229ae45-c12a-4827-8c0c-44975ff67629,"Flats / Apartments for Sale in Bhudarpura, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-bhudarpura-ahmedabad
0aca2cf8-7656-4ed6-bc56-10f19d3981cd,"Flats for Sale in New Ranip, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-new-ranip-ahmedabad
56b54a0a-cd46-4564-b30e-c89a08d2b1f2,"Flats / Apartments for Sale in Bhaijipura, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-bhaijipura-gandhinagar
0eccc99f-f6d9-4da6-9baf-b7f36748761d,"Flats / Apartments for Rent in Nalsarovar, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-nalsarovar-ahmedabad
33a089b9-8029-4472-bf6c-a14535b0b88e,"Flats / Apartments for Rent in Pundrasan, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-pundrasan-gandhinagar
e03ae130-749a-47f8-beb7-cc65c4038d7e,"Flats / Apartments for Sale in Nandol, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-nandol-gandhinagar
85752cd4-d89f-4151-9da2-d110c7ae4aa6,"Flats / Apartments for Rent in New Sachivalaya Complex, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-new-sachivalaya-complex-gandhinagar
